"item_id","user_id","rating","timestamp","gender","category","brand","year","month","quantity","unitprice","unit_cost","region","amount","profit_margin"
"1","3559","3","1640995200","Female","Cameras","Logitech","2017","12","4","101","80.25","South","404","83"
"2","4892","2","1640998800","Female","Headphones","Bose","2015","3","4","439","187.62","South","1756","1005.52"
"3","2807","2","1641002400","Female","Headphones","Archos","2016","9","1","252","19.67","West","252","232.33"
"4","4391","3","1641006000","Male","Security","Sony","2018","6","3","314","129.63","East","942","553.11"
"5","4552","4","1641009600","Male","Cameras","Archos","2018","5","2","36","141.73","East","72","-211.46"
"6","1801","5","1641013200","Male","Computers","EINCAR","2016","11","1","48","116.59","North","48","-68.59"
"7","4378","1","1641016800","Male","Headphones","Sony","2015","3","1","57","204.46","South","57","-147.46"
"8","4959","1","1641020400","Female","Security","EINCAR","2016","12","4","345","97.41","North","1380","990.36"
"9","3300","1","1641024000","Female","Wearable Technology","EINCAR","2015","8","3","436","222.82","West","1308","639.54"
"10","1740","5","1641027600","Male","Computers","Logitech","2016","4","2","339","38.55","West","678","600.9"
"11","3610","3","1641031200","Female","Cameras","Bose","2018","7","3","497","214.67","East","1491","846.99"
"12","2120","5","1641034800","Female","Wearable Technology","Sony","2016","7","1","319","116.3","North","319","202.7"
"13","1242","2","1641038400","Female","Security","Bose","2016","5","2","484","83.34","West","968","801.32"
"14","1233","5","1641042000","Female","Security","Logitech","2015","6","1","420","157.24","North","420","262.76"
"15","3326","3","1641045600","Male","Wearable Technology","Sony","2018","3","2","60","53.62","North","120","12.76"
"16","1221","3","1641049200","Female","Computers","Logitech","2018","4","2","428","199.66","South","856","456.68"
"17","4479","2","1641052800","Male","Security","Bose","2018","6","3","390","142.83","East","1170","741.51"
"18","3203","1","1641056400","Male","Computers","Bose","2018","4","4","155","18.92","East","620","544.32"
"19","1635","5","1641060000","Male","Security","Archos","2018","1","3","73","171.41","West","219","-295.23"
"20","3021","3","1641063600","Male","Computers","EINCAR","2018","2","2","167","75.86","West","334","182.28"
"21","1114","1","1641067200","Male","Security","Archos","2015","12","1","167","83.48","South","167","83.52"
"22","2750","2","1641070800","Female","Security","Bose","2015","10","3","456","77.95","East","1368","1134.15"
"23","4118","3","1641074400","Female","Wearable Technology","EINCAR","2015","6","1","411","82.85","West","411","328.15"
"24","3580","5","1641078000","Male","Computers","EINCAR","2018","11","4","256","149.85","South","1024","424.6"
"25","2120","4","1641081600","Male","Security","Logitech","2015","9","2","75","104.83","North","150","-59.66"
"26","4922","4","1641085200","Male","Computers","EINCAR","2016","4","4","97","32.5","West","388","258"
"27","4234","1","1641088800","Female","Wearable Technology","EINCAR","2016","7","1","60","173.64","North","60","-113.64"
"28","3686","3","1641092400","Female","Cameras","Sony","2015","1","1","79","151","North","79","-72"
"29","2531","2","1641096000","Female","Computers","Sony","2017","9","2","496","240.96","West","992","510.08"
"30","4875","1","1641099600","Male","Computers","Bose","2015","12","2","249","188.36","North","498","121.28"
"31","4421","3","1641103200","Female","Cameras","Sony","2018","5","3","278","114.56","East","834","490.32"
"32","4779","5","1641106800","Female","Cameras","Bose","2016","8","2","203","99.38","South","406","207.24"
"33","4333","1","1641110400","Male","Computers","Archos","2016","11","1","435","60.42","North","435","374.58"
"34","3458","5","1641114000","Female","Headphones","Archos","2015","1","2","429","53.32","South","858","751.36"
"35","2035","5","1641117600","Female","Cameras","Archos","2018","10","1","24","34.13","East","24","-10.13"
"36","3274","4","1641121200","Male","Computers","Archos","2016","3","3","217","28.53","South","651","565.41"
"37","2372","5","1641124800","Male","Headphones","Bose","2018","2","4","229","170.97","East","916","232.12"
"38","2589","1","1641128400","Female","Security","Bose","2017","8","4","172","246.33","North","688","-297.32"
"39","3478","3","1641132000","Male","Security","Archos","2018","9","1","98","160.33","South","98","-62.33"
"40","1845","2","1641135600","Male","Security","Logitech","2015","10","4","126","92.55","North","504","133.8"
"41","3802","4","1641139200","Male","Headphones","Logitech","2016","7","4","170","169.54","North","680","1.84"
"42","1623","1","1641142800","Male","Cameras","Archos","2016","1","4","286","37.34","West","1144","994.64"
"43","2939","4","1641146400","Male","Computers","Sony","2017","5","3","81","39.65","East","243","124.05"
"44","1407","3","1641150000","Male","Security","Sony","2018","2","1","486","146.1","West","486","339.9"
"45","3412","5","1641153600","Female","Headphones","Logitech","2018","10","3","396","127.47","South","1188","805.59"
"46","3104","5","1641157200","Female","Headphones","Logitech","2017","11","2","203","80.74","North","406","244.52"
"47","2774","3","1641160800","Female","Headphones","Bose","2018","12","3","369","202.83","North","1107","498.51"
"48","2664","1","1641164400","Female","Headphones","EINCAR","2015","9","1","176","63.08","East","176","112.92"
"49","1358","3","1641168000","Female","Wearable Technology","Bose","2018","9","4","332","223.3","South","1328","434.8"
"50","1503","1","1641171600","Male","Security","Archos","2018","5","4","494","81.14","West","1976","1651.44"
"51","3716","3","1641175200","Male","Cameras","EINCAR","2017","3","2","122","199.91","West","244","-155.82"
"52","4571","3","1641178800","Male","Security","Bose","2016","6","1","105","126.71","West","105","-21.71"
"53","3688","5","1641182400","Female","Computers","EINCAR","2016","11","4","356","238.69","East","1424","469.24"
"54","3212","1","1641186000","Female","Computers","Sony","2018","8","1","127","120.79","East","127","6.21"
"55","3229","4","1641189600","Female","Security","Logitech","2018","11","4","143","137.68","West","572","21.28"
"56","3107","5","1641193200","Male","Wearable Technology","Sony","2016","6","1","388","83.75","West","388","304.25"
"57","4817","5","1641196800","Female","Cameras","Archos","2015","1","1","236","154.24","West","236","81.76"
"58","3347","3","1641200400","Female","Cameras","Bose","2015","4","4","149","243.93","North","596","-379.72"
"59","1675","5","1641204000","Male","Wearable Technology","Sony","2015","5","1","273","187.41","North","273","85.59"
"60","2403","1","1641207600","Male","Computers","Archos","2015","6","1","66","159.04","West","66","-93.04"
"61","2620","3","1641211200","Female","Headphones","Bose","2016","7","2","178","240.76","East","356","-125.52"
"62","3027","4","1641214800","Female","Wearable Technology","Logitech","2016","11","1","439","43.76","North","439","395.24"
"63","1004","4","1641218400","Male","Headphones","Logitech","2018","12","2","315","196.19","South","630","237.62"
"64","3377","1","1641222000","Male","Wearable Technology","Bose","2016","10","1","215","126.05","South","215","88.95"
"65","2372","4","1641225600","Male","Headphones","EINCAR","2018","7","2","155","240.11","North","310","-170.22"
"66","3859","2","1641229200","Female","Cameras","Sony","2017","2","2","461","168.75","North","922","584.5"
"67","3847","1","1641232800","Male","Cameras","Bose","2018","1","3","386","208.09","West","1158","533.73"
"68","1632","1","1641236400","Female","Cameras","EINCAR","2015","2","4","106","219.85","South","424","-455.4"
"69","2416","3","1641240000","Female","Cameras","Logitech","2016","4","3","296","44.25","East","888","755.25"
"70","2488","2","1641243600","Female","Headphones","EINCAR","2017","10","2","310","186.33","South","620","247.34"
"71","2513","5","1641247200","Male","Security","EINCAR","2018","8","4","165","169.24","West","660","-16.96"
"72","2876","2","1641250800","Male","Security","Logitech","2015","8","1","496","244.93","South","496","251.07"
"73","4481","5","1641254400","Female","Headphones","EINCAR","2015","8","4","389","146.23","North","1556","971.08"
"74","1284","5","1641258000","Female","Headphones","Logitech","2018","11","1","57","193.74","South","57","-136.74"
"75","3839","3","1641261600","Female","Headphones","Logitech","2015","6","2","324","175.68","East","648","296.64"
"76","3484","5","1641265200","Female","Wearable Technology","EINCAR","2017","8","3","373","62.95","South","1119","930.15"
"77","1174","3","1641268800","Male","Computers","Bose","2016","1","4","342","44.24","North","1368","1191.04"
"78","2557","1","1641272400","Male","Wearable Technology","EINCAR","2015","9","4","369","68.31","East","1476","1202.76"
"79","4683","5","1641276000","Female","Cameras","Sony","2018","2","3","96","77.59","North","288","55.23"
"80","1153","5","1641279600","Male","Security","Archos","2016","2","3","403","172.58","North","1209","691.26"
"81","3401","1","1641283200","Male","Headphones","Sony","2016","12","2","215","161.51","North","430","106.98"
"82","4538","1","1641286800","Male","Computers","EINCAR","2017","3","4","61","36.66","West","244","97.36"
"83","2580","5","1641290400","Male","Wearable Technology","Archos","2016","2","2","342","229.53","West","684","224.94"
"84","1033","4","1641294000","Female","Computers","Sony","2018","7","2","241","167.25","South","482","147.5"
"85","3598","1","1641297600","Female","Cameras","Archos","2016","4","4","181","116.6","West","724","257.6"
"86","3836","4","1641301200","Male","Security","Bose","2017","3","3","231","115.16","South","693","347.52"
"87","2584","4","1641304800","Male","Headphones","Archos","2017","4","1","444","158.2","South","444","285.8"
"88","1071","2","1641308400","Male","Computers","Logitech","2015","3","3","25","233.64","West","75","-625.92"
"89","3503","2","1641312000","Male","Security","Sony","2018","2","1","168","138.83","East","168","29.17"
"90","4886","2","1641315600","Male","Computers","EINCAR","2017","5","3","324","227.6","West","972","289.2"
"91","1925","2","1641319200","Male","Computers","Logitech","2016","10","3","51","10.58","West","153","121.26"
"92","2136","3","1641322800","Male","Cameras","EINCAR","2018","9","4","369","242.02","West","1476","507.92"
"93","4286","1","1641326400","Female","Headphones","Logitech","2018","9","3","248","31.42","West","744","649.74"
"94","1769","3","1641330000","Male","Computers","Bose","2016","12","2","338","245.05","North","676","185.9"
"95","4472","5","1641333600","Female","Security","Archos","2016","5","4","118","218.9","East","472","-403.6"
"96","4670","5","1641337200","Female","Cameras","Sony","2017","9","3","27","176.01","East","81","-447.03"
"97","2810","1","1641340800","Male","Security","Archos","2016","4","2","190","112.07","East","380","155.86"
"98","4557","2","1641344400","Female","Computers","Bose","2018","3","1","372","159.67","South","372","212.33"
"99","4919","2","1641348000","Male","Wearable Technology","Sony","2017","5","3","348","235.43","West","1044","337.71"
"100","4560","4","1641351600","Female","Wearable Technology","Logitech","2015","10","2","81","202.73","North","162","-243.46"
"101","4204","3","1641355200","Male","Cameras","Sony","2017","8","4","439","17.75","North","1756","1685"
"102","1758","1","1641358800","Female","Headphones","EINCAR","2016","12","2","165","84.03","North","330","161.94"
"103","1233","4","1641362400","Female","Cameras","Logitech","2016","12","4","50","108.18","North","200","-232.72"
"104","3821","4","1641366000","Male","Wearable Technology","EINCAR","2017","11","1","283","83.04","North","283","199.96"
"105","1008","1","1641369600","Female","Headphones","Sony","2017","7","4","492","105.98","South","1968","1544.08"
"106","2573","2","1641373200","Female","Security","EINCAR","2018","11","1","110","80.6","North","110","29.4"
"107","4942","2","1641376800","Female","Headphones","EINCAR","2017","2","2","143","221.89","North","286","-157.78"
"108","1196","2","1641380400","Male","Security","EINCAR","2015","12","4","112","88.02","West","448","95.92"
"109","3654","4","1641384000","Female","Computers","Sony","2015","11","2","351","146.3","South","702","409.4"
"110","3938","3","1641387600","Female","Security","Logitech","2017","7","1","168","178.33","North","168","-10.33"
"111","3495","5","1641391200","Female","Headphones","Archos","2018","3","3","294","79.23","South","882","644.31"
"112","2421","4","1641394800","Female","Cameras","Sony","2018","5","3","416","32.43","West","1248","1150.71"
"113","2744","1","1641398400","Male","Computers","Sony","2016","8","1","71","74.95","North","71","-3.95"
"114","2875","5","1641402000","Female","Headphones","Archos","2016","2","2","342","123.98","North","684","436.04"
"115","2727","1","1641405600","Male","Security","Archos","2018","8","4","218","120.82","West","872","388.72"
"116","3612","1","1641409200","Female","Cameras","Bose","2018","9","1","430","26.26","South","430","403.74"
"117","2595","2","1641412800","Female","Wearable Technology","Bose","2018","11","2","403","24.37","West","806","757.26"
"118","4695","4","1641416400","Male","Security","EINCAR","2015","7","4","55","175.71","North","220","-482.84"
"119","4570","1","1641420000","Female","Wearable Technology","Bose","2016","4","2","34","106.76","East","68","-145.52"
"120","2331","2","1641423600","Male","Headphones","Sony","2016","2","2","272","106.18","North","544","331.64"
"121","2395","1","1641427200","Female","Cameras","Archos","2018","5","3","196","133.22","South","588","188.34"
"122","1138","4","1641430800","Male","Computers","Bose","2016","1","3","59","14.68","West","177","132.96"
"123","1671","2","1641434400","Female","Headphones","Logitech","2018","7","3","297","153.09","North","891","431.73"
"124","1198","4","1641438000","Female","Computers","EINCAR","2018","11","2","400","50.88","East","800","698.24"
"125","3613","2","1641441600","Male","Cameras","Bose","2018","12","4","67","39.98","South","268","108.08"
"126","4127","1","1641445200","Male","Headphones","Logitech","2018","7","4","309","203.63","East","1236","421.48"
"127","1670","3","1641448800","Female","Computers","Logitech","2017","2","3","373","181.43","East","1119","574.71"
"128","2357","2","1641452400","Female","Cameras","Logitech","2018","5","2","461","127.07","North","922","667.86"
